Player,Group_ID,Color_Index,Role
Onyeka Okongwu,3,2,Member
Josh Giddey,3,2,Member
Ayo Dosunmu,3,2,Member
Sam Merrill,3,2,Member
Isaac Okoro,3,2,Member
Jalen Johnson,3,2,Member
Vit Krejci,3,2,Member
Dominick Barlow,3,2,Member
Jacob Toppin,3,2,Member
Saddiq Bey,3,2,Member
Dyson Daniels,3,2,Member
Evan Mobley,3,2,Member
Dalen Terry,3,2,Member
Caleb Houstan,3,2,Member
Julian Phillips,3,2,Member
Mouhamed Gueye,3,2,Member
Craig Porter Jr.,3,2,Member
Daeqwon Plowden,3,2,Member
Zaccharie Risacher,3,2,Member
Emanuel Miller,3,2,Member
Keaton Wallace,3,2,Member
Matas Buzelis,3,2,Member
Jahmir Young,3,2,Member
Jaylon Tyson,3,2,Member
Luke Travers,3,2,Member
Nae'Qwan Tomlin,3,2,Member
N'Faly Dante,3,2,Member
Tyrese Proctor,3,2,Member
Lachlan Olbrich,3,2,Member
Noa Essengue,3,2,Member
Asa Newell,3,2,Member
Jonas Valančiūnas,4,3,Core
Josh Hart,4,3,Core
Pascal Siakam,4,3,Core
Norman Powell,4,3,Core
Brandon Ingram,4,3,Core
Garrett Temple,4,3,Member
CJ McCollum,4,3,Member
Jakob Poeltl,4,3,Member
OG Anunoby,4,3,Member
Svi Mykhailiuk,4,3,Member
T.J. McConnell,4,3,Member
RJ Barrett,4,3,Member
Chris Boucher,4,3,Member
Immanuel Quickley,4,3,Member
Aaron Nesmith,4,3,Member
Obi Toppin,4,3,Member
Justin Champagnie,4,3,Member
Mitchell Robinson,4,3,Member
Zion Williamson,4,3,Member
Ochai Agbaji,4,3,Member
Jose Alvarado,4,3,Member
Trey Murphy III,4,3,Member
Herbert Jones,4,3,Member
Isaiah Jackson,4,3,Member
Quenton Jackson,4,3,Member
Scottie Barnes,4,3,Member
Miles McBride,4,3,Member
Andrew Nembhard,4,3,Member
Bennedict Mathurin,4,3,Member
Ron Harper Jr.,4,3,Member
Jarace Walker,4,3,Member
Ben Sheppard,4,3,Member
Gradey Dick,4,3,Member
Jordan Hawkins,4,3,Member
Johnny Furphy,4,3,Member
RayJ Dennis,4,3,Member
Karlo Matković,4,3,Member
Yves Missi,4,3,Member
Antonio Reeves,4,3,Member
Ja'Kobe Walter,4,3,Member
Jamison Battle,4,3,Member
Jamal Shead,4,3,Member
Jonathan Mogbo,4,3,Member
Ariel Hukporti,4,3,Member
Tyler Kolek,4,3,Member
Pacome Dadiet,4,3,Member
Taelon Peter,4,3,Member
Derik Queen,4,3,Member
Hunter Dickinson,4,3,Member
Jeremiah Fears,4,3,Member
Micah Peavy,4,3,Member
Mohamed Diawara,4,3,Member
Collin Murray-Boyles,4,3,Member
Chucky Hepburn,4,3,Member
