Player,Group_ID,Role,Color_Index
Donovan Mitchell,6,Core,5
Larry Nance Jr.,6,Member,5
Jordan Clarkson,6,Member,5
Evan Mobley,6,Member,5
Kevin Love,6,Member,5
Lauri Markkanen,6,Member,5
Isaac Okoro,6,Member,5
Collin Sexton,6,Member,5
Sam Merrill,6,Member,5
Kris Dunn,6,Member,5
Walker Kessler,6,Member,5
Craig Porter Jr.,6,Member,5
Johnny Juzang,6,Member,5
Keyonte George,6,Member,5
Taylor Hendricks,6,Member,5
Brice Sensabaugh,6,Member,5
Svi Mykhailiuk,6,Member,5
Simone Fontecchio,6,Member,5
Jaylon Tyson,6,Member,5
Luke Travers,6,Member,5
Nae'Qwan Tomlin,6,Member,5
Elijah Harkless,6,Member,5
Cody Williams,6,Member,5
Kyle Filipowski,6,Member,5
Isaiah Collier,6,Member,5
Tyrese Proctor,6,Member,5
Walter Clayton,6,Member,5
Ace Bailey,6,Member,5
Maxi Kleber,7,Core,6
Dwight Powell,7,Core,6
Luka Dončić,7,Core,6
RJ Barrett,7,Core,6
Tim Hardaway Jr.,7,Core,6
Immanuel Quickley,7,Member,6
Mitchell Robinson,7,Member,6
Josh Hart,7,Member,6
Julius Randle,7,Member,6
Jalen Brunson,7,Member,6
Miles McBride,7,Member,6
Jericho Sims,7,Member,6
Kristaps Porziņģis,7,Member,6
Quentin Grimes,7,Member,6
Jaden Hardy,7,Member,6
Brandon Williams,7,Member,6
Dereck Lively II,7,Member,6
Olivier-Maxence Prosper,7,Member,6
Ariel Hukporti,7,Member,6
Tyler Kolek,7,Member,6
Pacome Dadiet,7,Member,6
Cooper Flagg,7,Member,6
Mohamed Diawara,7,Member,6
Miles Kelly,7,Member,6
Moussa Cisse,7,Member,6
Ryan Nembhard,7,Member,6
Jaren Jackson Jr.,8,Core,7
John Konchar,8,Core,7
Ja Morant,8,Core,7
Desmond Bane,8,Core,7
Santi Aldama,8,Core,7
Dillon Brooks,8,Member,7
Xavier Tillman Sr.,8,Member,7
Tyus Jones,8,Member,7
Kyle Anderson,8,Member,7
Luke Kennard,8,Member,7
Vince Williams Jr.,8,Member,7
Grayson Allen,8,Member,7
Ziaire Williams,8,Member,7
Jake LaRavia,8,Member,7
GG Jackson II,8,Member,7
Trey Jemison,8,Member,7
Jaylen Wells,8,Member,7
Zach Edey,8,Member,7
Cam Spencer,8,Member,7
Tosan Evbuomwan,8,Member,7
PJ Hall,8,Member,7
Javon Small,8,Member,7
Jahmai Mashack,8,Member,7
Cedric Coward,8,Member,7
Mikal Bridges,9,Core,8
DeAndre Jordan,9,Core,8
Devin Booker,9,Core,8
Cameron Johnson,9,Core,8
Deandre Ayton,9,Core,8
Chris Paul,9,Member,8
Nic Claxton,9,Member,8
Day'Ron Sharpe,9,Member,8
Cam Thomas,9,Member,8
Bismack Biyombo,9,Member,8
Dario Šarić,9,Member,8
Landry Shamet,9,Member,8
Jalen Wilson,9,Member,8
Noah Clowney,9,Member,8
Trendon Watford,9,Member,8
Tyrese Martin,9,Member,8
Tyson Etienne,9,Member,8
Trey Alexander,9,Member,8
Drew Timme,9,Member,8
Drake Powell,9,Member,8
Egor Dёmin,9,Member,8
Ben Saraf,9,Member,8
Nolan Traoré,9,Member,8
Danny Wolf,9,Member,8
Kyle Lowry,10,Core,9
Pascal Siakam,10,Core,9
DeMar DeRozan,10,Core,9
Jonas Valančiūnas,10,Core,9
OG Anunoby,10,Core,9
Norman Powell,10,Member,9
Jakob Poeltl,10,Member,9
Chris Boucher,10,Member,9
Gary Trent Jr.,10,Member,9
Scottie Barnes,10,Member,9
Garrett Temple,10,Member,9
Precious Achiuwa,10,Member,9
Drew Eubanks,10,Member,9
Ochai Agbaji,10,Member,9
Bruce Brown,10,Member,9
Gradey Dick,10,Member,9
Ron Harper Jr.,10,Member,9
Jamison Battle,10,Member,9
Ja'Kobe Walter,10,Member,9
Jamal Shead,10,Member,9
Jonathan Mogbo,10,Member,9
Chucky Hepburn,10,Member,9
Collin Murray-Boyles,10,Member,9
Cody Martin,11,Core,10
Nick Richards,11,Core,10
P.J. Washington,11,Core,10
LaMelo Ball,11,Core,10
Miles Bridges,11,Core,10
Mark Williams,11,Member,10
Brandon Miller,11,Member,10
Nick Smith Jr.,11,Member,10
Collin Gillespie,11,Member,10
Bryce McGowens,11,Member,10
Ryan Dunn,11,Member,10
Oso Ighodaro,11,Member,10
Tidjane Salaün,11,Member,10
KJ Simpson,11,Member,10
Khaman Maluach,11,Member,10
Rasheer Fleming,11,Member,10
Koby Brea,11,Member,10
Nigel Hayes-Davis,11,Member,10
Kon Knueppel,11,Member,10
Liam McNeeley,11,Member,10
Ryan Kalkbrenner,11,Member,10
Sion James,11,Member,10
Brandon Ingram,12,Core,11
CJ McCollum,12,Core,11
Trey Murphy III,12,Core,11
Herbert Jones,12,Core,11
Jose Alvarado,12,Core,11
Jusuf Nurkić,12,Member,11
Zion Williamson,12,Member,11
Jaxson Hayes,12,Member,11
Anfernee Simons,12,Member,11
Naji Marshall,12,Member,11
Lonzo Ball,12,Member,11
Dyson Daniels,12,Member,11
Jordan Hawkins,12,Member,11
Yves Missi,12,Member,11
Karlo Matković,12,Member,11
E.J. Liddell,12,Member,11
Antonio Reeves,12,Member,11
Derik Queen,12,Member,11
Jeremiah Fears,12,Member,11
Micah Peavy,12,Member,11
Hunter Dickinson,12,Member,11
Shai Gilgeous-Alexander,13,Core,12
Luguentz Dort,13,Core,12
Kenrich Williams,13,Core,12
Aaron Wiggins,13,Core,12
Isaiah Joe,13,Core,12
Jaylin Williams,13,Member,12
Jalen Williams,13,Member,12
Ousmane Dieng,13,Member,12
Tre Mann,13,Member,12
Josh Giddey,13,Member,12
Cason Wallace,13,Member,12
Chet Holmgren,13,Member,12
Lindy Waters III,13,Member,12
Isaiah Hartenstein,13,Member,12
Jeremiah Robinson-Earl,13,Member,12
Branden Carlson,13,Member,12
Ajay Mitchell,13,Member,12
Chris Youngblood,13,Member,12
Brooks Barnhizer,13,Member,12
Bam Adebayo,14,Core,13
Tyler Herro,14,Core,13
Jimmy Butler,14,Core,13
Duncan Robinson,14,Core,13
Gabe Vincent,14,Core,13
Kelly Olynyk,14,Member,13
Caleb Martin,14,Member,13
Dru Smith,14,Member,13
Nikola Jović,14,Member,13
Derrick Jones Jr.,14,Member,13
Jaime Jaquez Jr.,14,Member,13
Orlando Robinson,14,Member,13
Jamal Cain,14,Member,13
Keshad Johnson,14,Member,13
Kel'el Ware,14,Member,13
Pelle Larsson,14,Member,13
Jahmir Young,14,Member,13
Myron Gardner,14,Member,13
Keldon Johnson,15,Core,14
Devin Vassell,15,Core,14
Tre Jones,15,Core,14
Julian Champagnie,15,Core,14
Jeremy Sochan,15,Core,14
Sandro Mamukelashvili,15,Member,14
Blake Wesley,15,Member,14
Charles Bassey,15,Member,14
Malaki Branham,15,Member,14
Victor Wembanyama,15,Member,14
Sidy Cissoko,15,Member,14
Dominick Barlow,15,Member,14
Stephon Castle,15,Member,14
Harrison Ingram,15,Member,14
Riley Minix,15,Member,14
Dylan Harper,15,Member,14
Carter Bryant,15,Member,14
David Jones García,15,Member,14
Jaylen Brown,16,Core,15
Al Horford,16,Core,15
Derrick White,16,Core,15
Payton Pritchard,16,Core,15
Marcus Smart,16,Core,15
Luke Kornet,16,Member,15
Sam Hauser,16,Member,15
Robert Williams,16,Member,15
Dennis Schröder,16,Member,15
Neemias Queta,16,Member,15
JD Davison,16,Member,15
Jordan Walsh,16,Member,15
Drew Peterson,16,Member,15
Baylor Scheierman,16,Member,15
Guerschon Yabusele,16,Member,15
Hugo González,16,Member,15
Amari Williams,16,Member,15
Trae Young,17,Core,16
Clint Capela,17,Core,16
De'Andre Hunter,17,Core,16
Onyeka Okongwu,17,Core,16
Bogdan Bogdanović,17,Core,16
Jalen Johnson,17,Member,16
John Collins,17,Member,16
Kevin Huerter,17,Member,16
Vit Krejci,17,Member,16
Garrison Mathews,17,Member,16
Mouhamed Gueye,17,Member,16
Saddiq Bey,17,Member,16
Jacob Toppin,17,Member,16
Keaton Wallace,17,Member,16
Zaccharie Risacher,17,Member,16
Daeqwon Plowden,17,Member,16
Asa Newell,17,Member,16
Stephen Curry,18,Core,17
Draymond Green,18,Core,17
Kevon Looney,18,Core,17
Klay Thompson,18,Core,17
Andrew Wiggins,18,Core,17
Gary Payton II,18,Member,17
Jonathan Kuminga,18,Member,17
Moses Moody,18,Member,17
Jordan Poole,18,Member,17
Gui Santos,18,Member,17
Trayce Jackson-Davis,18,Member,17
Brandin Podziemski,18,Member,17
Pat Spencer,18,Member,17
